fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.4,0.70,0.00,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5
7.8,0.88,0.00,2.6,0.098,25.0,67.0,0.9968,3.20,0.68,9.8,5
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.9970,3.26,0.65,10.0,5
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.9980,3.16,0.58,9.8,6
7.4,0.66,0.00,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5
7.4,0.66,0.00,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5
7.9,0.60,0.06,1.6,0.069,15.0,37.0,0.9966,3.39,0.60,10.8,6
7.3,0.65,0.00,1.2,0.058,15.0,21.0,0.9946,3.39,0.62,10.9,6
7.3,0.65,0.00,1.2,0.058,15.0,21.0,0.9946,3.39,0.62,10.9,6
7.5,0.50,0.36,6.1,0.071,50.0,127.0,0.9978,3.32,0.76,9.5,5
5.6,0.62,0.03,1.6,0.089,12.0,35.0,0.9938,3.56,0.60,11.5,5
7.8,0.61,0.04,1.6,0.069,18.0,43.0,0.9968,3.26,0.65,10.0,5
8.9,0.62,0.18,3.8,0.176,52.0,98.0,0.9968,3.36,0.76,10.5,6
8.5,0.58,0.18,2.8,0.092,35.0,106.0,0.9968,3.17,0.53,9.2,5
6.7,0.58,0.08,1.8,0.097,16.0,41.0,0.9952,3.41,0.56,10.0,5
5.6,0.62,0.03,1.6,0.089,12.0,35.0,0.9938,3.56,0.60,11.5,5
7.8,0.61,0.04,1.6,0.069,18.0,43.0,0.9968,3.26,0.65,10.0,5
8.9,0.22,0.45,1.8,0.077,29.0,60.0,0.9968,3.39,0.56,11.3,6
8.9,0.22,0.45,1.8,0.077,29.0,60.0,0.9968,3.39,0.56,11.3,6
8.5,0.66,0.16,2.2,0.076,28.0,68.0,0.9960,3.35,0.64,10.2,6
8.1,0.56,0.08,1.8,0.097,12.0,35.0,0.9970,3.36,0.52,10.0,5
7.4,0.34,0.33,2.5,0.058,17.0,42.0,0.9962,3.42,0.70,10.8,7
7.9,0.43,0.21,1.6,0.106,12.0,35.0,0.9970,3.47,0.60,10.5,5
8.9,0.22,0.45,1.8,0.077,29.0,60.0,0.9968,3.39,0.56,11.3,6
8.9,0.22,0.45,1.8,0.077,29.0,60.0,0.9968,3.39,0.56,11.3,6
8.5,0.49,0.20,3.2,0.072,12.0,30.0,0.9972,3.36,0.54,10.2,6
6.7,0.58,0.08,1.8,0.097,16.0,41.0,0.9952,3.41,0.56,10.0,5
7.3,0.65,0.00,1.2,0.058,15.0,21.0,0.9946,3.39,0.62,10.9,6
7.5,0.50,0.36,6.1,0.071,50.0,127.0,0.9978,3.32,0.76,9.5,5
7.0,0.27,0.33,2.0,0.050,12.0,25.0,0.9940,3.43,0.70,11.2,7
7.8,0.56,0.08,1.9,0.078,22.0,44.0,0.9970,3.33,0.58,10.0,5
8.9,0.22,0.45,1.8,0.077,29.0,60.0,0.9968,3.39,0.56,11.3,6
5.6,0.62,0.03,1.6,0.089,12.0,35.0,0.9938,3.56,0.60,11.5,5
7.4,0.34,0.33,2.5,0.058,17.0,42.0,0.9962,3.42,0.70,10.8,7
7.9,0.43,0.21,1.6,0.106,12.0,35.0,0.9970,3.47,0.60,10.5,5
8.9,0.62,0.18,3.8,0.176,52.0,98.0,0.9968,3.36,0.76,10.5,6
8.5,0.58,0.18,2.8,0.092,35.0,106.0,0.9968,3.17,0.53,9.2,5
7.4,0.70,0.00,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5
7.8,0.88,0.00,2.6,0.098,25.0,67.0,0.9968,3.20,0.68,9.8,5
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.9970,3.26,0.65,10.0,5
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.9980,3.16,0.58,9.8,6
7.3,0.65,0.00,1.2,0.058,15.0,21.0,0.9946,3.39,0.62,10.9,6
8.1,0.56,0.08,1.8,0.097,12.0,35.0,0.9970,3.36,0.52,10.0,5
6.7,0.58,0.08,1.8,0.097,16.0,41.0,0.9952,3.41,0.56,10.0,5
7.0,0.27,0.33,2.0,0.050,12.0,25.0,0.9940,3.43,0.70,11.2,7
7.8,0.56,0.08,1.9,0.078,22.0,44.0,0.9970,3.33,0.58,10.0,5
8.5,0.66,0.16,2.2,0.076,28.0,68.0,0.9960,3.35,0.64,10.2,6
7.4,0.66,0.00,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5
7.9,0.60,0.06,1.6,0.069,15.0,37.0,0.9966,3.39,0.60,10.8,6
